user_id,n_x,rmse_base,mae_base,n_y,rmse_candidate,mae_candidate,delta_rmse,candidate
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,210.61065832018147,98.71491899773142,0.0,global_baseline
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.6930384069667888,0.3599338288912365,0.0,global_baseline
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,6.041634397842501,2.5687353575215406,0.0,global_baseline
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.621930261747121,0.238276953159991,0.0,global_baseline
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,15.762295594317507,6.108283339940744,0.0,global_baseline
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,20.270783282267427,10.757346862615977,0.0,global_baseline
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,85.99971400193459,29.90052287012042,0.0,global_baseline
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,4.472395362965905,1.3181693063045552,0.0,global_baseline
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,22.310002088693615,13.153534583246959,0.0,global_baseline
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,8.360836857758876,3.5646026470672525,0.0,global_baseline
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,23.686333778575875,8.859599136823832,0.0,global_baseline
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,157.26728342490108,69.18220014268844,53.34337489528039,cluster_ensemble
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.46829855602062476,0.16614558802407636,0.224739850946164,cluster_ensemble
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,5.197649412843867,1.9187857623068514,0.8439849849986345,cluster_ensemble
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.48592222358519155,0.07374472171624356,0.1360080381619294,cluster_ensemble
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,19.41064223753029,6.49660223831039,-3.6483466432127827,cluster_ensemble
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,26.275237174933036,10.801182259346614,-6.004453892665609,cluster_ensemble
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,99.52127567171144,36.68511277196701,-13.521561669776844,cluster_ensemble
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,3.5344805258458196,1.077616844569589,0.9379148371200854,cluster_ensemble
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,83.29068434032234,29.049377735086694,-60.98068225162873,cluster_ensemble
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,7.674690088277747,2.862600552255965,0.6861467694811294,cluster_ensemble
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,27.041754328175433,8.585721270472783,-3.3554205495995575,cluster_ensemble
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,201.8353479138881,106.06434093060976,8.775310406293357,blend_alpha
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.5045338846641915,0.17318609824723816,0.1885045223025973,blend_alpha
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,5.368307659488272,2.1851337266020283,0.6733267383542296,blend_alpha
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.5213053079133462,0.07994385976708321,0.10062495383377479,blend_alpha
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,17.18956022665655,5.983845295707017,-1.4272646323390425,blend_alpha
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,21.291406859664576,10.238740077897369,-1.0206235773971493,blend_alpha
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,116.15435697238864,39.837135236325516,-30.15464297045405,blend_alpha
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,2.8658359280032575,0.7978772815144403,1.6065594349626475,blend_alpha
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,88.84641420576904,37.95120062960301,-66.53641211707543,blend_alpha
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,7.807021085440165,2.893185134420656,0.5538157723187114,blend_alpha
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,23.220086346786005,7.099967835396481,0.4662474317898706,blend_alpha
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,201.8353479138881,106.06434093060976,8.775310406293357,pred_tuned
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.5045338846641915,0.17318609824723816,0.1885045223025973,pred_tuned
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,5.368307659488272,2.1851337266020283,0.6733267383542296,pred_tuned
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.5213053079133462,0.07994385976708321,0.10062495383377479,pred_tuned
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,17.18956022665655,5.983845295707017,-1.4272646323390425,pred_tuned
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,21.291406859664576,10.238740077897369,-1.0206235773971493,pred_tuned
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,116.15435697238864,39.837135236325516,-30.15464297045405,pred_tuned
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,2.8658359280032575,0.7978772815144403,1.6065594349626475,pred_tuned
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,88.84641420576904,37.95120062960301,-66.53641211707543,pred_tuned
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,7.807021085440165,2.893185134420656,0.5538157723187114,pred_tuned
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,23.220086346786005,7.099967835396481,0.4662474317898706,pred_tuned
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,210.61065832018147,98.71491899773142,0.0,user_blend
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.4682985562357351,0.16614558853570527,0.22473985073105368,user_blend
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,5.1996768793005055,2.0001277289682178,0.8419575185419959,user_blend
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.4859222243866932,0.07374472202802722,0.13600803736042777,user_blend
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,15.714364344306505,6.020515633978788,0.04793125001100229,user_blend
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,20.41934944202638,10.353156003909993,-0.14856615975895338,user_blend
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,99.52127571424046,36.68511275268266,-13.521561712305868,user_blend
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,3.3205127986910763,1.0747781697163188,1.1518825642748287,user_blend
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,30.18503068822129,15.583903786175581,-7.875028599527674,user_blend
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,7.473151015968797,2.9155613737585835,0.8876858417900797,user_blend
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,23.686333778575875,8.859599136823832,0.0,user_blend
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,149.2353325144283,59.35515801764119,61.375325805753164,final_ensemble
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.4682985562357351,0.16614558853570527,0.22473985073105368,final_ensemble
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,6.041634397842501,2.5687353575215406,0.0,final_ensemble
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.4859222243866932,0.07374472202802722,0.13600803736042777,final_ensemble
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,15.762295594317507,6.108283339940744,0.0,final_ensemble
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,20.270783282267427,10.757346862615977,0.0,final_ensemble
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,199.41121071713553,67.71976250795763,-113.41149671520094,final_ensemble
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,4.472395362965905,1.3181693063045552,0.0,final_ensemble
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,22.310002088693615,13.153534583246959,0.0,final_ensemble
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,8.360836857758876,3.5646026470672525,0.0,final_ensemble
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,23.686333778575875,8.859599136823832,0.0,final_ensemble
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,149.2353325144283,59.35515801764119,61.375325805753164,final_ensemble_patched
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.4682985562357351,0.16614558853570527,0.22473985073105368,final_ensemble_patched
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,6.041634397842501,2.5687353575215406,0.0,final_ensemble_patched
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.4859222243866932,0.07374472202802722,0.13600803736042777,final_ensemble_patched
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,15.762295594317507,6.108283339940744,0.0,final_ensemble_patched
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,20.270783282267427,10.757346862615977,0.0,final_ensemble_patched
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,85.99971400193459,29.90052287012042,0.0,final_ensemble_patched
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,4.472395362965905,1.3181693063045552,0.0,final_ensemble_patched
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,22.310002088693615,13.153534583246959,0.0,final_ensemble_patched
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,8.360836857758876,3.5646026470672525,0.0,final_ensemble_patched
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,23.686333778575875,8.859599136823832,0.0,final_ensemble_patched
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,149.2353325144283,59.35515801764119,61.375325805753164,merged_regime_fixed
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.4682985562357351,0.16614558853570527,0.22473985073105368,merged_regime_fixed
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,6.041634397842501,2.5687353575215406,0.0,merged_regime_fixed
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.4859222243866932,0.07374472202802722,0.13600803736042777,merged_regime_fixed
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,15.762295594317507,6.108283339940744,0.0,merged_regime_fixed
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,20.270783282267427,10.757346862615977,0.0,merged_regime_fixed
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,85.99971400193459,29.90052287012042,0.0,merged_regime_fixed
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,4.472395362965905,1.3181693063045552,0.0,merged_regime_fixed
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,22.310002088693615,13.153534583246959,0.0,merged_regime_fixed
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,8.360836857758876,3.5646026470672525,0.0,merged_regime_fixed
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,23.686333778575875,8.859599136823832,0.0,merged_regime_fixed
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,149.2353325144283,59.35515801764119,61.375325805753164,merged_regime_fixed_u268patched
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.4682985562357351,0.16614558853570527,0.22473985073105368,merged_regime_fixed_u268patched
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,6.041634397842501,2.5687353575215406,0.0,merged_regime_fixed_u268patched
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.4859222243866932,0.07374472202802722,0.13600803736042777,merged_regime_fixed_u268patched
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,15.762295594317507,6.108283339940744,0.0,merged_regime_fixed_u268patched
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,20.270783282267427,10.757346862615977,0.0,merged_regime_fixed_u268patched
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,85.98333802607306,29.582769127326028,0.016375975861535608,merged_regime_fixed_u268patched
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,4.472395362965905,1.3181693063045552,0.0,merged_regime_fixed_u268patched
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,22.310002088693615,13.153534583246959,0.0,merged_regime_fixed_u268patched
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,8.360836857758876,3.5646026470672525,0.0,merged_regime_fixed_u268patched
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,23.686333778575875,8.859599136823832,0.0,merged_regime_fixed_u268patched
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,148.89264681301046,59.49537405669581,61.71801150717101,peakfallback_final
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.5372994016359247,0.17501300560444474,0.15573900533086404,peakfallback_final
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,6.041634397842501,2.5687353575215406,0.0,peakfallback_final
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.4961073525478168,0.0746975973973522,0.12582290919930417,peakfallback_final
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,15.762295594317507,6.108283339940744,0.0,peakfallback_final
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,20.270783282267427,10.757346862615977,0.0,peakfallback_final
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,85.99971400193459,29.90052287012042,0.0,peakfallback_final
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,4.472395362965905,1.3181693063045552,0.0,peakfallback_final
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,22.310002088693615,13.153534583246959,0.0,peakfallback_final
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,8.360836857758876,3.5646026470672525,0.0,peakfallback_final
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,23.686333778575875,8.859599136823832,0.0,peakfallback_final
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,148.89264681301046,59.49537405669581,61.71801150717101,submission_final
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.5372994016359247,0.17501300560444474,0.15573900533086404,submission_final
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,6.041634397842501,2.5687353575215406,0.0,submission_final
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.4961073525478168,0.0746975973973522,0.12582290919930417,submission_final
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,15.762295594317507,6.108283339940744,0.0,submission_final
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,20.270783282267427,10.757346862615977,0.0,submission_final
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,85.99971400193459,29.90052287012042,0.0,submission_final
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,4.472395362965905,1.3181693063045552,0.0,submission_final
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,22.310002088693615,13.153534583246959,0.0,submission_final
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,8.360836857758876,3.5646026470672525,0.0,submission_final
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,23.686333778575875,8.859599136823832,0.0,submission_final
